Entity Type,USDOT Number,USDOT Status,MCS-150 Mileage Year,MCS-150 Form Date,Legal Name,DBA Name,Physical Address,Phone,Mailing Address,URL,Error
CARRIER  ,1257611 ,ACTIVE  , ,06/11/2004 ,CHARLES RONALD VANDEGRIFT , ,"4422 HWY 545
WINTER GARDEN, FL   34787  ",(407) 656-9271  ,"PO BOX 784165
WINTER GARDEN, FL   34778  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1257611&original_query_string=CHARLES RONALD VANDEGRIFT,N/A
SHIPPER  ,405771 ,ACTIVE  , , ,CHEMICAL PRODUCTS COMPANY INC , ,"200 S POST RD
ABERDEEN, MD   21001  ", ,"200 S POST RD
ABERDEEN, MD   21001  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=405771&original_query_string=CHEMICAL PRODUCTS COMPANY INC,N/A
CARRIER  ,1050795 ,ACTIVE  , ,10/21/2002 ,CHUCK DELANCEY ,CHUCK'S FARM SERVICE ,"RR 2 BOX 58
FULLERTON, NE   68638  ",(308) 536-2721  ,"RR 2 BOX 58
FULLERTON, NE   68638  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1050795&original_query_string=CHUCK DELANCEY,N/A
CARRIER  ,3515344 ,ACTIVE  ,"30,000 (2021) ",06/01/2022 ,CJE TRANSPORT CORP , ,"1617 NW 3RD PL
CAPE CORAL, FL   33993-5104  ",(786) 532-0761  ,"1617 NW 3RD PL
CAPE CORAL, FL   33993-5104  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3515344&original_query_string=CJE TRANSPORT CORP,N/A
SHIPPER  ,417218 ,ACTIVE  , , ,CLAREMONT CHEMICAL COMPANY , ,"14 MEMORIAL DR
CLAREMONT, NH   03743  ", ,"14 MEMORIAL DR
CLAREMONT, NH   03743  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=417218&original_query_string=CLAREMONT CHEMICAL COMPANY,N/A
CARRIER  ,1759006 ,ACTIVE  ,"5,000 (2007) ",04/09/2008 ,CLARK ENTERPRISES OF MIDLAND INC ,SANDY RIDGE GOLF COURSE ,"2750 W LAURIA RD
MIDLAND, MI   48642  ",(989) 631-6010  ,"PO BOX 2121
MIDLAND, MI   48641  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1759006&original_query_string=CLARK ENTERPRISES OF MIDLAND INC,N/A
CARRIER  ,1665973 ,ACTIVE  , ,03/13/2008 ,CLEAN CUT LAWN AND GARDEN INC , ,"922 MIDDLE RD
RIVERHEAD, NY   11901  ",(631) 369-2528  ,"PO BOX 82
RIVERHEAD, NY   11901  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1665973&original_query_string=CLEAN CUT LAWN AND GARDEN INC,N/A
CARRIER  ,654827 ,ACTIVE  ,"3,000 () ", ,JAMES M CLIFFORD ,CLIFFORD CONSTRUCTION COMPANY ,"3870 ROYSTER RD
LEXINGTON, KY   40516  ",(606) 299-7077  ,"3870 ROYSTER RD
LEXINGTON, KY   40516  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=654827&original_query_string=CLIFFORD CONSTRUCTION COMPANY,N/A
CARRIER  ,1549577 ,ACTIVE  , ,12/18/2007 ,CLIPPINGER TRANSPORTATION SERVICES INC , ,"2000 EAST GARVEY AVE SOUTH
WEST COVINA, CA   91791-1911  ",(503) 607-1088  ,"PO BOX 1650
CLACKAMAS, OR   97015  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1549577&original_query_string=CLIPPINGER TRANSPORTATION SERVICES INC,N/A
CARRIER  ,2198298 ,ACTIVE  ,"38,000 (2022) ",08/23/2023 ,CMS TRANSPORT LLC , ,"13 WILLOW LANE
MILFORD, NJ   08848  ",(908) 552-1851  ,"13 WILLOW LANE
MILFORD, NJ   08848  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2198298&original_query_string=CMS TRANSPORT LLC,N/A
CARRIER  ,3826229 ,ACTIVE  ,1 (2023) ,04/05/2024 ,COCHRAN & RETTGER INVESTMENTS INC ,OHIO LIFT TRUCK ,"60 WILLIAMS ST
GRAND RIVER, OH   44045  ",(440) 354-1444  ,"PO BOX 190
GRAND RIVER, OH   44045  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3826229&original_query_string=COCHRAN & RETTGER INVESTMENTS INC,N/A
CARRIER  ,1003227 ,ACTIVE  , ,02/06/2002 ,COLEMAN R KYLE ,KYLE R COLEMAN DUMP TRUCK SERVICE ,"390 S 200 W
MINERSVILLE, UT   84752  ",(435) 386-1526  ,"BOX 266
MINERSVILLE, UT   84752  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1003227&original_query_string=COLEMAN R KYLE,N/A
SHIPPER  ,416042 ,ACTIVE  , , ,COMMERCIAL CHEMICAL COMPANY INC , ,"2337 S BIRCH ST
SANTA ANA, CA   92707-3402  ",(714) 546-6660  ,"P O BOX 2126
SANTA ANA, CA   92707-0126  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=416042&original_query_string=COMMERCIAL CHEMICAL COMPANY INC,N/A
CARRIER  ,2271246 ,ACTIVE  ,"10,000 (2023) ",11/01/2024 ,CONTRACT OIL & GAS SERVICE COMPANY , ,"9307 HUFSMITH ROAD
TOMBALL, TX   77375  ",(281) 351-8411  ,"9307 HUFSMITH ROAD
TOMBALL, TX   77375  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2271246&original_query_string=CONTRACT OIL & GAS SERVICE COMPANY,N/A
CARRIER  ,1044962 ,ACTIVE  , ,07/30/2002 ,BILLY D COMPTON ,COOLWATER TRANSPORT ,"166 MARY KAY LN
DRAIN, OR   97435  ",(541) 530-9880  ,"PO BOX 637
DRAIN, OR   97435  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1044962&original_query_string=COOLWATER TRANSPORT,N/A
CARRIER  ,1048492 ,ACTIVE  , , ,ERIC S BLOOM ,COUNTRY ESTATE LANDSCAPE LLC ,"147 OLD NEWTOWN ROAD
MONROE, CT   06468-1101  ",(203) 268-5147  ,"P O BOX 421
MONROE, CT   06468-1101  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1048492&original_query_string=COUNTRY ESTATE LANDSCAPE LLC,N/A
CARRIER  ,4240709 ,ACTIVE  , ,05/15/2024 ,COUNTY ROADS AND DRIVES LLC , ,"14610 HENRY RD
HOUSTON, TX   77060  ",(832) 527-2686  ,"24094 SEARS LN UNIT 11
PORTER, TX   77365-7157  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=4240709&original_query_string=COUNTY ROADS AND DRIVES LLC,N/A
CARRIER  ,2144890 ,ACTIVE  ,"151,000 (2023) ",11/17/2024 ,COWBOY CRANE SERVICE LLC , ,"11800 HWY 261
SIDNEY, MT   59270-9959  ",(406) 489-7961  ,"11800 HWY 261
SIDNEY, MT   59270-0261  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2144890&original_query_string=COWBOY CRANE SERVICE LLC,N/A
CARRIER  ,1562367 ,ACTIVE  ,"20,000 (2005) ",10/05/2006 ,JACOB CRAIN ,CRAIN LANDSCAPE AND DESIGN ,"1505 FLAT ROCK ROAD
TALLASSEE, AL   36078  ",(334) 283-2257  ,"1505 FLAT ROCK ROAD
TALLASSEE, AL   36078  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1562367&original_query_string=CRAIN LANDSCAPE AND DESIGN,N/A
CARRIER  ,737922 ,ACTIVE  , , ,CRISMAN SAND COMPANY INC , ,"251 INDIANA AVENUE
VALPARAISO, IN   46383  ",(219) 462-3114  ,"251 INDIANA AVENUE
VALPARAISO, IN   46383  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=737922&original_query_string=CRISMAN SAND COMPANY INC,N/A
CARRIER  ,1816945 ,ACTIVE  , ,10/01/2008 ,CROSS LANDSCAPING & MAINTENANCE LLC , ,"8528 ROYAL WOODS DRIVE
CLARKSTON, MI   48348  ",(248) 618-0352  ,"8528 ROYAL WOODS DRIVE
CLARKSTON, MI   48348  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1816945&original_query_string=CROSS LANDSCAPING & MAINTENANCE LLC,N/A
CARRIER  ,1669292 ,ACTIVE  ,"12,000 (2007) ",07/23/2007 ,CUMBERLAND MOLDED PRODUCTS , ,"225 ALEXANDER DRIVE
WOODBURY, TN   37190  ",(615) 563-6837  ,"225 ALEXANDER DRIVE
WOODBURY, TN   37190  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1669292&original_query_string=CUMBERLAND MOLDED PRODUCTS,N/A
CARRIER  ,1442303 ,ACTIVE  , ,11/10/2005 ,CUMBERLAND VALLEY ENVIRONMENTAL SERVICE , ,"4516 HWY 421 SOUTH
GRAYS KNOB, KY   40829  ",(606) 573-6300  ,"PO BOX 878
HARLAN, KY   40831  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1442303&original_query_string=CUMBERLAND VALLEY ENVIRONMENTAL SERVICE,N/A
CARRIER  ,1075165 ,ACTIVE  ,"1,900 (2005) ",06/28/2006 ,CURRAN CONSTRUCTION INC , ,"40 CRICKLEWOOD RD N
YONKERS, NY   10704  ",(914) 476-2477  ,"40 CRICKLEWOOD RD N
YONKERS, NY   10704  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1075165&original_query_string=CURRAN CONSTRUCTION INC,N/A
CARRIER  ,3925709 ,ACTIVE  , ,07/28/2022 ,D O D DELIVERY ON DEMAND LLC , ,"2689 FISH HATCHERY RD
WEST COLUMBIA, SC   29172-2094  ",(803) 626-4098  ,"2689 FISH HATCHERY RD
WEST COLUMBIA, SC   29172-2094  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3925709&original_query_string=D O D DELIVERY ON DEMAND LLC,N/A
CARRIER  ,2134808 ,ACTIVE  ,1 (2017) ,04/03/2018 ,DACKING TRANSPORT INC , ,"618 NW 46TH AVE
DELRAY BEACH, FL   33445  ",(202) 460-0856  ,"PO BOX 3761
BOYNTON BEACH, FL   33424  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2134808&original_query_string=DACKING TRANSPORT INC,N/A
CARRIER  ,379148 ,ACTIVE  ,"7,500 (2003) ",07/24/2004 ,DALE SANBORN , ,"31090 S D HWY 34
PIERRE, SD   57501  ",(605) 224-5634  ,"31090 S D HWY 34
PIERRE, SD   57501-6510  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=379148&original_query_string=DALE SANBORN,N/A
CARRIER  ,777637 ,ACTIVE  , , ,ROLAND DAMMANN ,DAMMANN FARMS ,"129 ORMSBY ROAD
ST LIBORY, NE   68872  ",(308) 687-6345  ,"129 ORMSBY ROAD
ST LIBORY, NE   68872  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=777637&original_query_string=DAMMANN FARMS,N/A
CARRIER  ,1004510 ,ACTIVE  , ,02/13/2002 ,DAN J PULONE ,DAN PULONE TRUCKING ,"24427 PULONE LN
ELMIRA, OR   97437  ",(541) 935-3631  ,"24427 PULONE LN
ELMIRA, OR   97437  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1004510&original_query_string=DAN J PULONE,N/A
CARRIER  ,1004510 ,ACTIVE  , ,02/13/2002 ,DAN J PULONE ,DAN PULONE TRUCKING ,"24427 PULONE LN
ELMIRA, OR   97437  ",(541) 935-3631  ,"24427 PULONE LN
ELMIRA, OR   97437  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1004510&original_query_string=DAN PULONE TRUCKING,N/A
CARRIER  ,791242 ,ACTIVE  , , ,DANA COLLINS & VECHELLE L RHODES ,D & V DUMP TRUCKS ,"9669 WICKLAND CT
FISHERS, IN   46038  ",(317) 926-3381  ,"9669 WICKLAND CT
FISHERS, IN   46038  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=791242&original_query_string=DANA COLLINS & VECHELLE L RHODES,N/A
CARRIER  ,819319 ,ACTIVE  ,"10,000 (1998) ", ,DANIEL D JOHNSON ,TRI J SANITATION ,"109 WHITETAIL
OPAL, WY   83124  ",(307) 877-5977  ,"PO BOX 98
OPAL, WY   83124-0098  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=819319&original_query_string=DANIEL D JOHNSON,N/A
CARRIER  ,1018275 ,ACTIVE  , , ,DANIEL HEMBREE , ,"715 N UNION
SHAWNEE, OK   74801  ",(405) 206-4728  ,"PO BOX 125
SHAWNEE, OK   74802-0125  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1018275&original_query_string=DANIEL HEMBREE,N/A
CARRIER  ,731805 ,ACTIVE  ,"7,000 (2023) ",10/31/2024 ,DANNY J WILSON , ,"4265 CTY RTE 24
CAMERON MILLS, NY   14820  ",(607) 776-7598  ,"4265 CTY RTE 24
CAMERON MILLS, NY   14820  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=731805&original_query_string=DANNY J WILSON,N/A
CARRIER  ,643042 ,ACTIVE  ,"12,541 () ", ,DANNY LIGGETT , ,"381 LITTLE ZION RD
DIXON, KY   42409  ",(502) 639-5549  ,"381 LITTLE ZION RD
DIXON, KY   42409  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=643042&original_query_string=DANNY LIGGETT,N/A
CARRIER  ,644883 ,ACTIVE  , , ,DARILL L LESTER ,DARILL L LESTER CONSTRUCTION COMPANY ,"1242 BURGIN RD
HARRODSBURG, KY   40330  ",(606) 734-2477  ,"1242 BURGIN RD
HARRODSBURG, KY   40330  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=644883&original_query_string=DARILL L LESTER CONSTRUCTION COMPANY,N/A
CARRIER  ,1257575 ,ACTIVE  , ,06/11/2004 ,DAVID ALAN KALMON , ,"W9761 PERKINSTOWN AVENUE
MEDFORD, WI   54451  ",(715) 785-7299  ,"W9761 PERKINSTOWN AVENUE
MEDFORD, WI   54451  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1257575&original_query_string=DAVID ALAN KALMON,N/A
CARRIER  ,3673367 ,ACTIVE  ,"15,000 (2022) ",07/25/2024 ,DAVIS AND COMPANY LLC , ,"1270 FRIDINGER MILL RD
WESTMINSTER, MD   21157-3207  ",(443) 955-1491  ,"1270 FRIDINGER MILL RD
WESTMINSTER, MD   21157-3207  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3673367&original_query_string=DAVIS AND COMPANY LLC,N/A
CARRIER  ,975696 ,ACTIVE  ,"40,000 () ",08/29/2001 ,DAWSON LAND DEVELOPMENT , ,"310 MEALEY DRIVE
ATLANTIC BCH, FL   32233  ",(904) 246-8801  ,"310 MEALEY DRIVE
ATLANTIC BCH, FL   32233  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=975696&original_query_string=DAWSON LAND DEVELOPMENT,N/A
CARRIER  ,1903006 ,ACTIVE  , ,06/16/2009 ,DEAN FORSMAN ,FORSMAN OUTDOOR ENTERPRISES ,"22 MEARNS WAY
SOUTH EGREMONT, MA   01258  ",(413) 528-0523  ,"22 MEARNS WAY
SOUTH EGREMONT, MA   01258  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1903006&original_query_string=DEAN FORSMAN,N/A
CARRIER  ,1654826 ,ACTIVE  ,"397,896 (2023) ",06/28/2024 ,DEAN J HELLER ,DEAN HELLER TRUCKING ,"103 CURTIS ST
LOOMIS, NE   68958  ",(402) 340-3410  ,"103 CURTIS ST
LOOMIS, NE   68958  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1654826&original_query_string=DEAN HELLER TRUCKING,N/A
CARRIER  ,1654826 ,ACTIVE  ,"397,896 (2023) ",06/28/2024 ,DEAN J HELLER ,DEAN HELLER TRUCKING ,"103 CURTIS ST
LOOMIS, NE   68958  ",(402) 340-3410  ,"103 CURTIS ST
LOOMIS, NE   68958  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1654826&original_query_string=DEAN J HELLER,N/A
CARRIER  ,1657653 ,ACTIVE  , ,06/19/2007 ,DECORATIVE LANDSCAPE CURBING , ,"511 NOBLES ROAD
DEATSVILLE, AL   36022  ",(334) 569-1465  ,"511 NOBLES ROAD
DEATSVILLE, AL   36022  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1657653&original_query_string=DECORATIVE LANDSCAPE CURBING,N/A
CARRIER  ,269880 ,ACTIVE  , , ,RICHARD G DAVID ,DEDE'S FLOWERS & PLANTS ,"1203 TROTTER
NEW IBERIA, LA   70560  ",(318) 369-6368  ,"1203 TROTTER
NEW IBERIA, LA   70560  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=269880&original_query_string=DEDE'S FLOWERS & PLANTS,N/A
SHIPPER  ,417536 ,ACTIVE  , , ,DEFENSE DEPOT MECHANICSBURG , ,"5450 CARLISLE PIKE
MECHANICSBURG, PA   17055  ", ,"5450 CARLISLE PIKE
MECHANICSBURG, PA   17055  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=417536&original_query_string=DEFENSE DEPOT MECHANICSBURG,N/A
CARRIER  ,3994388 ,ACTIVE  ,1 (2023) ,11/29/2024 ,DEMO TRANSPORTATION LLC , ,"4913 W EVANS DR
GLENDALE, AZ   85306-4425  ",(602) 472-4768  ,"4913 W EVANS DR
GLENDALE, AZ   85306-4425  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3994388&original_query_string=DEMO TRANSPORTATION LLC,N/A
CARRIER  ,3612353 ,ACTIVE  ,"15,000 (2023) ",03/22/2024 ,DILLON SCHLIMME ,DILLON'S LAWN & LANDSCAPING ,"221 FAIR STREET
CLINTON, MN   56225  ",(320) 304-1040  ,"P O BOX 254
CLINTON, MN   56225  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3612353&original_query_string=DILLON'S LAWN & LANDSCAPING,N/A
CARRIER  ,1657540 ,ACTIVE  , ,06/19/2007 ,CHARLES G JEHNZEN ,DIRT MERCHANT ,"9956 15 MILE ROAD
RODNEY, MI   49342  ",(231) 867-3220  ,"9956 15 MILE ROAD
RODNEY, MI   49342  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1657540&original_query_string=DIRT MERCHANT,N/A
SHIPPER  ,407878 ,ACTIVE  , , ,DIXIE DISINFECTANT CO , ,"3420 CHELSEA AVE
MEMPHIS, TN   38108-1967  ", ,"P O BOX 22218
MEMPHIS, TN   38122-0218  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=407878&original_query_string=DIXIE DISINFECTANT CO,N/A
SHIPPER  ,545693 ,ACTIVE  , , ,DON SANCHEZ ,UNCLE DON'S AUTO BODY & PAINT ,"713 W DEMING DR
CHEYENNE, WY   82007  ",(307) 632-0052  ,"713 W DEMING DR
CHEYENNE, WY   82007  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=545693&original_query_string=DON SANCHEZ,N/A
CARRIER  ,1783414 ,ACTIVE  ,"6,000 (2007) ",06/18/2008 ,DUANE BORDINE ,BORDINE FARMS ,"4149 BROGAN RD
STOCKBRIDGE, MI   49285  ",(517) 851-7109  ,"4149 BROGAN RD
STOCKBRIDGE, MI   49285  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1783414&original_query_string=DUANE BORDINE,N/A
CARRIER  ,770611 ,ACTIVE  , , ,DUANE CONDO , ,"R R 5 BOX 186
PERU, IN   46970  ",(765) 689-8376  ,"R R 5 BOX 186
PERU, IN   46970  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=770611&original_query_string=DUANE CONDO,N/A
CARRIER  ,788734 ,ACTIVE  , , ,DUANE COOK ,D & D TRUCKING ,"32364 585TH AVE
CAMBRIDGE, IA   50046  ",(515) 383-4348  ,"32364 585TH AVE
CAMBRIDGE, IA   50046  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=788734&original_query_string=DUANE COOK,N/A
CARRIER  ,3887193 ,ACTIVE  , ,05/20/2022 ,DYLAN K LOGISTICS LLC , ,"6123 WOODFIELD DR SE APT 10
GRAND RAPIDS, MI   49548  ",(404) 734-0194  ,"6123 WOODFIELD DR SE APT 10
GRAND RAPIDS, MI   49548-8535  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3887193&original_query_string=DYLAN K LOGISTICS LLC,N/A
CARRIER  ,697112 ,ACTIVE  , , ,E & E TRUCKING COMPANY INC , ,"HWY 1140 S
BEVERLY, KY   40913  ",(606) 337-3261  ,"HC 69 BOX 625
BEVERLY, KY   40913-0625  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=697112&original_query_string=E & E TRUCKING COMPANY INC,N/A
CARRIER  ,3084974 ,ACTIVE  ,1 (2022) ,04/26/2023 ,EBENSBURG POWER COMPANY , ,"2840 NEW GERMANY RD
EBENSBURG, PA   15931-3505  ",(814) 472-1140  ,"2840 NEW GERMANY RD
EBENSBURG, PA   15931-3505  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3084974&original_query_string=EBENSBURG POWER COMPANY,N/A
CARRIER/SHIPPER  ,1287789 ,ACTIVE  , ,09/21/2004 ,ECUAHISPANO INC , ,"2200 SAN CRISTABOLO DR 103
KISSIMMEE, FL   34741  ",(407) 933-8346  ,"2200 SAN CRISTABOLO DR 103
KISSIMMEE, FL   34741  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1287789&original_query_string=ECUAHISPANO INC,N/A
CARRIER  ,2015676 ,ACTIVE  ,"20,000 (2009) ",04/02/2010 ,MARCUS N HICKS-NASH ,EDEN TRANSPORTATION ,"36175 GRAND RIVER AVE
FARMINGTON, MI   48335  ",(248) 885-7140  ,"36175 GRAND RIVER AVE
FARMINGTON, MI   48335  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2015676&original_query_string=EDEN TRANSPORTATION,N/A
CARRIER  ,1463504 ,ACTIVE  ,"20,000 (2017) ",01/16/2019 ,EHRLICHMANN STRUCTURAL MOVERS LLC , ,"33455 201ST AVENUE
CLARISSA, MN   56440  ",(320) 630-0297  ,"33455 201ST AVENUE
CLARISSA, MN   56440  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1463504&original_query_string=EHRLICHMANN STRUCTURAL MOVERS LLC,N/A
CARRIER  ,3334979 ,ACTIVE  ,1 (2018) ,09/17/2019 ,EMANUEL RODRIGUEZ ,DALE TRUCKING ,"1811 SE 3211
ANDREWS, TX   79714-2224  ",(432) 209-8529  ,"PO BOX 1512
ANDREWS, TX   79714-1512  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3334979&original_query_string=EMANUEL RODRIGUEZ,N/A
